        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 8.50500000e+00,        -9.464779049347e+00,        +1.386854420600e+02,        -5.213796057705e-01,        +5.563668785654e+01
 8.50600000e+00,        -9.555097166602e+00,        +1.385403202709e+02,        -5.099916324412e-01,        +5.541173501882e+01
 8.50700000e+00,        -9.640919847373e+00,        +1.384046175301e+02,        -4.994145872224e-01,        +5.519966725605e+01
 8.50800000e+00,        -9.722584672540e+00,        +1.382774013395e+02,        -4.895654570209e-01,        +5.499933397183e+01
 8.50900000e+00,        -9.800396282402e+00,        +1.381578538671e+02,        -4.803720234356e-01,        +5.480971713318e+01
 8.51000000e+00,        -9.874630289869e+00,        +1.380452552478e+02,        -4.717711829239e-01,        +5.462991277577e+01
 8.51100000e+00,        -9.945536640740e+00,        +1.379389696795e+02,        -4.637075689601e-01,        +5.445911553621e+01
 8.51200000e+00,        -1.001334256843e+01,        +1.378384337699e+02,        -4.561324119046e-01,        +5.429660551149e+01
 8.51300000e+00,        -1.007825505654e+01,        +1.377431467674e+02,        -4.490025981541e-01,        +5.414173738031e+01
 8.51400000e+00,        -1.014046307981e+01,        +1.376526622816e+02,        -4.422798795726e-01,        +5.399393092902e+01
 8.51500000e+00,        -1.020013951066e+01,        +1.375665812746e+02,        -4.359302131976e-01,        +5.385266308338e+01
 8.51600000e+00,        -1.025744279760e+01,        +1.374845460907e+02,        -4.299232043193e-01,        +5.371746106028e+01
 8.51700000e+00,        -1.031251843821e+01,        +1.374062353523e+02,        -4.242316350961e-01,        +5.358789647911e+01
 8.51800000e+00,        -1.036550027539e+01,        +1.373313596019e+02,        -4.188310639269e-01,        +5.346358028109e+01
 8.51900000e+00,        -1.041651164180e+01,        +1.372596574504e+02,        -4.136994831541e-01,        +5.334415832318e+01
 8.52000000e+00,        -1.046566637086e+01,        +1.371908924467e+02,        -4.088170265417e-01,        +5.322930756158e+01
